id_produto,nome_produto,categoria,preco_venda,custo_unitario
P0001,Item SKU Industrial 1,Embalagens,67.62,43.74
P0002,Item SKU Industrial 2,Plásticos,289.53,138.95
P0003,Item SKU Industrial 3,Químicos,13.53,7.35
P0004,Item SKU Industrial 4,Metalmecânica,262.68,153.95
P0005,Item SKU Industrial 5,Metalmecânica,59.66,31.57
P0006,Item SKU Industrial 6,Eletrônicos,28.86,18.61
P0007,Item SKU Industrial 7,Eletrônicos,188.97,112.32
P0008,Item SKU Industrial 8,Químicos,158.71,92.27
P0009,Item SKU Industrial 9,Metalmecânica,324.91,195.4
P0010,Item SKU Industrial 10,Químicos,209.24,134.02
P0011,Item SKU Industrial 11,Eletrônicos,254.05,160.45
P0012,Item SKU Industrial 12,Eletrônicos,59.7,35.51
P0013,Item SKU Industrial 13,Metalmecânica,39.3,23.57
P0014,Item SKU Industrial 14,Embalagens,218.31,104.61
P0015,Item SKU Industrial 15,Plásticos,256.63,120.76
P0016,Item SKU Industrial 16,Eletrônicos,708.55,399.75
P0017,Item SKU Industrial 17,Eletrônicos,89.81,40.74
P0018,Item SKU Industrial 18,Embalagens,79.79,43.6
P0019,Item SKU Industrial 19,Embalagens,234.69,115.48
P0020,Item SKU Industrial 20,Químicos,72.51,37.65
P0021,Item SKU Industrial 21,Químicos,410.52,248.43
P0022,Item SKU Industrial 22,Plásticos,303.23,193.54
P0023,Item SKU Industrial 23,Plásticos,94.05,43.68
P0024,Item SKU Industrial 24,Metalmecânica,218.47,121.65
P0025,Item SKU Industrial 25,Químicos,220.69,138.26
P0026,Item SKU Industrial 26,Eletrônicos,26.33,12.28
P0027,Item SKU Industrial 27,Químicos,359.27,220.92
P0028,Item SKU Industrial 28,Eletrônicos,115.56,60.27
P0029,Item SKU Industrial 29,Embalagens,272.7,140.28
P0030,Item SKU Industrial 30,Químicos,67.86,43.8
P0031,Item SKU Industrial 31,Embalagens,348.82,170.98
P0032,Item SKU Industrial 32,Plásticos,83.95,49.42
P0033,Item SKU Industrial 33,Plásticos,11.63,7.14
P0034,Item SKU Industrial 34,Metalmecânica,363.69,166.66
P0035,Item SKU Industrial 35,Químicos,24.36,14.23
P0036,Item SKU Industrial 36,Embalagens,67.7,43.35
P0037,Item SKU Industrial 37,Eletrônicos,459.55,218.21
P0038,Item SKU Industrial 38,Plásticos,461.19,290.2
P0039,Item SKU Industrial 39,Plásticos,137.8,78.4
P0040,Item SKU Industrial 40,Eletrônicos,159.88,91.66
P0041,Item SKU Industrial 41,Embalagens,99.25,56.83
P0042,Item SKU Industrial 42,Embalagens,62.05,31.63
P0043,Item SKU Industrial 43,Químicos,69.77,44.45
P0044,Item SKU Industrial 44,Químicos,177.45,113.47
P0045,Item SKU Industrial 45,Metalmecânica,219.38,126.16
P0046,Item SKU Industrial 46,Plásticos,245.23,148.78
P0047,Item SKU Industrial 47,Químicos,243.82,139.58
P0048,Item SKU Industrial 48,Embalagens,24.35,13.32
